id,row_id,username,license,license_url,lat,lng,geoprivacy,hotspot,event,observed,country,county,state,municipality,postcode,observation_notes,Cruise_Ship_Name,Recent_Rainfall_(inches)_(in),Tide_Stage,Time_of_Low_Tide,Time_(High_Tide),Cooler_Temperature_(_C),Water_Temperature_(_C)_(C),Air_temperature_(_C)_(°C),Wind_Speed_(mph),Tow_Depth_(m),Salinity_(ppt),DO_(avg)_(ppm),Enterococcus_Number_(/100ml),Biological_Oxygen_Demand_(BOD),Phytoplankton_(Dominant_Species_1),Phytoplankton_(Dominant_Species_3),Total_Phytoplankton,Current,Weather,Wind_on_Water,Sample_Method_(cruise_ship),Transparency_(avg)_(m),Observations_(cruise_ship),Nitrogen_(ug/L),Silicic_Acid_(uM),Phosphorus_(mg/L),Ammonium_(mg/L),Turbidity_(Average),Wind_Direction,Count,Comments_Brand_Names,Abundance,Transparency_(m),Dissolved_Oxygen,Current_(relative),Nutrient_Vial_Number,Nutrient_bath_temperature_(C),__of_LARGE_Pseudo_nitzschia,__of_SMALL_Pseudo_nitzschia,__of_Dinophysis_acuminata,__of_Alexandrium,__of_Prorocentrum_lima,__of_Margalefidinium_p_,__of_Karenia,PS_TNTC_reached_at_cell__,Comments,Phytoplankton_(Dominant_Species_2),Date_e_mailed_to_DMR,Lab_Comments,Collected_By,Inches_of_Rain_(in),Tide_in___out,Time_of_High_Tide,Water_Surface,Phytoplanton_Sample_Method,Field_Notes,Image 1,Image 2,Image 3,Image 4,Image 5,__of_Dinophysis_norvegica,__of_Dinophysis_spp__(unknown),Descending_Transparency_(m),Ascending_Transparency_(m),Water_Depth_(m),Frequency_(Dominant_Species_1),Frequency_(Dominant_Species_2),Zooplankton_Frequency,Microplastics_Sampling_Type,Amount_of_Water_Filtered_(L),Blue__Round,Blue__Filament,Blue__Angular,Blue__Other_Shape,Red__Round,Red__Filament,Red__Angular,Red__Other_Shape,Transparent_White__Round,Transparent_White__Filament,Transparent_White__Angular,Transparent_White__Other_Shape,Black__Round,Black__Filament,Black__Angular,Black__Other_Shape,Green__Round,Green__Filament,Green__Angular,Green__Other_Shape,Other_Colors__Round,Other_Colors__Filament,Other_Colors__Angular,Other_Colors__Other_Shape,Microplastics_Notes,Wind_Speed,__Grid_Cells_Counted,pH,__of_Copepods,Berth,Water_Traffic,Phosphorous_(ug/L)
"64571","159659","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-07-16 15:40:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam 14ft.","0","6","5:10:00 PM","11:15:00 AM","8","11","19","15","9","35","8.699999999999999","0","8.699999999999999","Leptocylindrus","Chaetoceros","85","Medium","Partly Cloudy","Whitecaps","Towed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64572","159660","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.393302,-68.204206,"false","Town Pier","","2004-07-19 15:05:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","American Glory","0","4","6:58:00 AM","1:06:00 PM","10","12","24","1.3","4","34","8.550000000000001","160","8.4","Chaetoceros","Thalassiosira","35","None","Overcast","Ripple","Towed","","Oil on Surface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64573","159661","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.393302,-68.204206,"false","Town Pier","","2004-07-20 15:30:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Control","0","4","7:33:00 AM","1:42:00 PM","7","12","18","4","3.5","34","8.85","10","8","Skeletonema","Dinophysis","39","Medium","Partly Cloudy","Ripple","Towed","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64574","159662","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-07-23 13:40:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Grande Caribe","0","1","9:27:00 AM","3:40:00 PM","7","12","15","","8","34","9.6","0","8.475","Leptocylindrus","Chaetoceros","76","Low","Overcast","Ripple","Towed","8.630000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64575","159663","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-07-23 13:30:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam","0","1","9:27:00 AM","3:40:00 PM","7","12","15","","9.199999999999999","34","9","0","7.65","Dinophysis norvegica","Skeletonema","44","Low","Overcast","Ripple","Towed","9.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64575","159664","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-07-23 13:30:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam 14ft.","0","1","9:27:00 AM","3:40:00 PM","7","12","15","","9.199999999999999","34","9.4","0","7.1","Dinophysis norvegica","Skeletonema","44","Low","Overcast","","Towed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64576","159665","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.393302,-68.204206,"false","Town Pier","","2004-07-26 14:15:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","American Glory","0","10","11:56:00 AM","5:49:00 AM","5","14","22","","2.9","34","9","0","7.7","Chaetoceros","Dinophysis norvegica","27","None","Partly Cloudy","Ripple","Towed","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64577","159666","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.393302,-68.204206,"false","Town Pier","","2004-08-02 14:10:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Control","0","5","6:35:00 AM","12:10:00 PM","6","13","23","1.5","4","34","8.050000000000001","10","7.5","Chaetoceros socialis","Dinophysis norvegica","14","None","Partly Cloudy","Ripple","Towed","4.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64578","159667","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-08-06 14:30:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Seven Seas Navigator","0","1","9:53:00 AM","4:07:00 AM","6","14","25","2","6.83","34","8.550000000000001","0","7.6","Nizschia","Chaetoceros","21","Medium","Clear","Ripple","Towed","7.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64579","159668","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.393302,-68.204206,"false","Town Pier","","2004-08-09 14:05:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","American Glory","0","11","12:19:00 PM","6:28:00 AM","5","13","19.5","15","3","33","8.199999999999999","0","7.05","Leptocylindrus","Chaetoceros","22","None","Clear","Ripple","Towed","3.4","Oil on Surface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64580","159669","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.393302,-68.204206,"false","Town Pier","","2004-09-07 18:15:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Control","0","4","11:51:00 AM","4:51:00 AM","11","13","27","0.87","","35","8.199999999999999","0","5.8","Chaetoceros socialis","Dinophysis","13","Slow Current","Partly Cloudy","Ripple","Towed","3.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64581","159670","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-12 19:45:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Jewel of the Seas","0","12","4:01:00 AM","10:20:00 AM","4","12","19","4","4","35","7.6","0","6.45","Pseudonitzschia","Chaetoceros socialis","41","Slow Current","Clear","Ripple","Towed","4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64582","159671","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-10 17:15:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam","1","1","2:30:00 AM","","7","11","17","12","3.5","34","7.5","0","7.6","Guinardia","Chaetoceros socialis","60","Medium Current","Overcast","Ripple","Towed","6.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64582","159672","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-10 17:15:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam 14ft.","1","1","2:30:00 AM","","7","11","17","12","3.5","34","7.6","0","6.45","Guinardia","Chaetoceros socialis","60","Medium Current","Overcast","Ripple","Towed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64583","159673","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-14 15:50:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Regal Princess","0","8","5:16:00 AM","11:23:00 AM","8","13","13","10","","35","8.050000000000001","0","7.4","Rhizosolenia","Chaetoceros","52","Slow Current","Clear","Ripple","Towed","5.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64584","159674","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-15 15:25:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Norwegian Crown","0","7","5:51:00 AM","11:58:00 AM","5","11","17","5","","35","7.92","0","7.05","Rhizosolenia","Guinardia","49","Calm","Clear","Ripple","Towed","5.9","Water fowl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64585","159675","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-16 16:00:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Grand Princess","0","6.5","6:26:00 AM","12:34:00 PM","8","11","15","","5","35","8.1","0","6.05","Rhizosolenia","Dinophysis norvegica","45","Medium Current","Partly Cloudy","Ripple","Towed","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64586","159676","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.393302,-68.204206,"false","Town Pier","","2004-09-21 15:25:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Control","0","2","10:18:00 AM","4:15:00 AM","4","12","20","","2.5","35","6.9","0","6.6","Rhizosolenia","Chaetoceros","25","Slow Current","Partly Cloudy","Calm","Towed","3.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64587","159677","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-23 15:36:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Crystal Symphony","0","6","6:53:00 AM","12:35:00 PM","5","11","19","14.7","4.2","35","8.199999999999999","0","6.8","Chaetoceros","Rhizosolenia","51","Medium Current","Clear","Waves","Towed","4.225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64588","159678","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-24 15:45:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam","0","5","8:02:00 AM","1:44:00 AM","4","12","15","3.5","3.5","35","8.85","0","7.1","Chaetoceros socialis","Chaetoceros","36","Slow Current","Partly Cloudy","Ripple","Towed","2.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64589","159679","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-24 16:00:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam 14ft.","0","5","8:02:00 AM","1:44:00 AM","4","12","15","","","34","7.8","0","7.1","Chaetoceros socialis","Chaetoceros","36","Slow Current","Partly Cloudy","Ripple","Towed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64590","159680","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-27 15:30:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Queen Mary 2","0","8","4:20:00 AM","10:31:00 AM","2","12","15","3.5","3.5","35","8.75","0","6.8","Rhizosolenia","Melosira","20","Slow Current","Clear","Ripple","Towed","3.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64591","159681","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-09-30 17:15:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Deutschland","0","7","6:33:00 AM","12:41:00 PM","8","12","20","1.5","5","35","7.95","41","6.025","Chaetoceros","Dinophysis norvegica","31","Calm","Partly Cloudy","Ripple","Towed","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64592","159682","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-10-06 15:55:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Grandeur of the Seas","0","2","11:09:00 AM","5:08:00 PM","-1","11","10","12","4","35","8.800000000000001","0","6.8","Chaetoceros","Chaetoceros socialis","56","Slow Current","Partly Cloudy","Waves","Towed","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64593","159683","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-10-10 17:00:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam","0","12","2:35:00 AM","8:59:00 PM","10","11.5","16","6","4.8","35","9","0","6.8","Chaetoceros","","18","Medium Current","Overcast","Ripple","Towed","4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64594","159684","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-10-10 17:30:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam 14ft.","0","12","2:35:00 AM","8:59:00 PM","10","","16","6","","35","9.25","0","7.4","Chaetoceros","","","Medium Current","Overcast","Ripple","Towed","","Other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64595","159685","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.400421,-68.181305,"false","","","2004-10-10 16:15:00+0000","United States","Hancock County","Maine","Gouldsboro",null,"","Orion","0","12","2:35:00 AM","8:59:00 PM","10","","","6","","","","0","","","","","Medium Current","Overcast","Ripple","Towed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64596","159686","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.402771,-68.202588,"false","Bravo","","2004-10-15 15:55:00+0000","United States","Hancock County","Maine","Gouldsboro",null,"","Control","0","7","6:21:00 AM","12:01:00 PM","9.5","10","13.5","6.5","6.33","35","8.199999999999999","0","8.199999999999999","Chaetoceros","Ditylum","8","Medium Current","Overcast","Waves","Towed","6.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
