id,eventID,locationID,geodeticDatum,decimalLatitude,decimalLongitude,countryCode,coordinateUncertaintyInMeters,eventDate,time_low_tide,time_high_tide,air_temp,water_temp,weather,rainfall_mm,wind_direction,wind_speed_knots,water_surface,water_current,tide_stage,tide_height,monitor_names,eventRemarks,salinity_ppt,DO1_ppm,DO2_ppm,DOavg_ppm,DO1_day5_ppm,DO2_day5_ppm,DO_day5_avg,bod,transparency_depth_mean,sampling_method,minimumDepthInMeters,maximumDepthInMeters,nitrate_plus_nitrite,ammonium,orthophosphate,silicate,Alexandrium,Ceratium,Chaetoceros_spp,Chaetoceros_socialis,Coscinodiscus,Dictyocha,Ditylum,Dinophysis_spp,Eucampia,Gonyaulax,Guinardia,Gymnodinium,Gyrosigma,Licmophora,Leptocylindrus,Melosira,Navicula,Nitzschia,Phaeocystis,Pleurosigma,Prorocentrum_spp,Prorocentrum_lima,Protoperidinium,Rhizosolenia,Thalassionema,Thalassiosira,Other_phytoplankton
MDIBL-habs_Anchorage_Alpha_22A_2004-09-10T17:15:00UTC,Anchorage_Alpha_22A_2004-09-10T17:15:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-10T17:15:00Z,2004-09-10T06:30:00Z,2004-09-10T12:41:00Z,17,11,Overcast,29.717999999999996,NA,12,Ripple,Medium,Out,0.3048,VanGorder Jake|Calcagni Tifin|Disney Jane,"NA|NA",34,7.8,7.4,7.6,6.5,6.4,6.45,1.46,6.5,Tow,0.5,35,NA,NA,NA,NA,0.016666666666666666,0,0,0.13333333333333333,0.016666666666666666,0,0.016666666666666666,0.11666666666666667,0,0.05,0.35,0,0.016666666666666666,0,0.06666666666666667,0.05,0,0,0,0,0,0,0,0.11666666666666667,0,0.016666666666666666,0.03333333333333333
MDIBL-habs_Anchorage_Alpha_22A_2004-09-12T19:45:00UTC,Anchorage_Alpha_22A_2004-09-12T19:45:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-12T19:45:00Z,2004-09-12T08:01:00Z,2004-09-13T02:20:00Z,19,12,Clear,0,NA,4,Ripple,Low,Out,3.81,Disney Jane|Mary,"NA|NA",35,7.2,8,7.6,6.5,6.4,6.45,1.15,4.5,Tow,0.5,4,NA,NA,NA,NA,0,0,0.14634146341463414,0.2682926829268293,0,0,0,0,0,0,0.12195121951219512,0,0,0,0,0,0,0,0,0,0,0,0,0.4634146341463415,0,0,0
MDIBL-habs_Anchorage_Alpha_22A_2004-09-14T15:50:00UTC,Anchorage_Alpha_22A_2004-09-14T15:50:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-14T15:50:00Z,2004-09-14T09:16:00Z,2004-09-14T15:23:00Z,13,13,Clear,0,NA,10,Ripple,NA,Out,2.4384,Calcagni Tifin|Benson Holly|Tyler,"NA|NA",35,8,8.1,8.05,7.7,7.1,7.4,0.65,5.6,Tow,0.5,5,NA,NA,NA,NA,0,0,0.25,0.23076923076923078,0,0,0,0,0,0,0.15384615384615385,0,0.038461538461538464,0,0,0.019230769230769232,0,0,0,0,0,0,0,0.2692307692307692,0,0.038461538461538464,0
MDIBL-habs_Anchorage_Alpha_22A_2004-09-15T15:25:00UTC,Anchorage_Alpha_22A_2004-09-15T15:25:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-15T15:25:00Z,2004-09-15T09:51:00Z,2004-09-15T15:58:00Z,17,11,Clear,0,NA,5,Ripple,None,Out,2.1336,Benson Holly|Calcagni Tifin|Tyler,"NA|NA",35,8.2,7.65,7.92,7,7.1,7.05,0.65,5.95,Tow,0.5,5.5,NA,NA,NA,NA,0,0,0.22916666666666666,0.08333333333333333,0,0,0,0.10416666666666667,0,0,0.2708333333333333,0,0.020833333333333332,0,0,0,0,0,0,0,0,0,0,0.2916666666666667,0,0,0
MDIBL-habs_Anchorage_Alpha_22A_2004-09-16T16:00:00UTC,Anchorage_Alpha_22A_2004-09-16T16:00:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-16T16:00:00Z,2004-09-16T10:26:00Z,2004-09-16T16:34:00Z,15,11,Partly Cloudy,0,NA,1.5,Ripple,Medium,In,1.9812,Benson Holly|Disney Jane|Houghton James,"NA|NA",35,8.4,7.8,8.1,5.9,6.2,6.05,2.05,5.1,Tow,0.5,5,NA,NA,NA,NA,0,0,0.07042253521126761,0.1267605633802817,0,0,0,0.16901408450704225,0,0.014084507042253521,0.08450704225352113,0,0.014084507042253521,0,0.1267605633802817,0.014084507042253521,0,0,0,0,0,0,0,0.38028169014084506,0,0,0
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-09-17T13:25:00UTC,Bar_Harbor_Town_Pier_22D_2004-09-17T13:25:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-09-17T13:25:00Z,2004-09-18T03:59:59Z,2004-09-18T03:59:59Z,21,13,NA,NA,NA,1,NA,Low,NA,NA,not_recorded,"NA|NA",34,6.8,7.2,7,NA,NA,NA,NA,3.4,Tow,0.5,3.4,NA,NA,NA,NA,0,0,0.2222222222222222,0.1111111111111111,0,0,0,0.041666666666666664,0,0,0.013888888888888888,0,0.05555555555555555,0,0.05555555555555555,0,0,0,0,0,0,0,0,0.5,0,0,0
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-09-21T15:25:00UTC,Bar_Harbor_Town_Pier_22D_2004-09-21T15:25:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-09-21T15:25:00Z,2004-09-21T14:18:00Z,2004-09-21T08:15:00Z,20,12,Partly Cloudy,0,NA,1.33,Calm,Low,In,0.6096,Calcagni Tifin|VanGorder Jake|Benson Holly|Disney Jane|Baron Alex,"NA|Transparency note: Disk hit bottom",35,6.7,7.1,6.5,6.6,6.6,6.6,0.3,3.01,Tow,0.5,2.5,NA,NA,NA,NA,0,0,0.16,0.12,0,0,0,0.04,0,0,0.04,0,0.12,0,0,0,0.04,0,0,0,0,0,0,0.48,0,0,0
MDIBL-habs_Anchorage_Alpha_22A_2004-09-23T15:36:00UTC,Anchorage_Alpha_22A_2004-09-23T15:36:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-23T15:36:00Z,2004-09-23T10:53:00Z,2004-09-23T16:35:00Z,19,11,Clear,0.254,NA,14.7,Whitecaps,High,In,1.8288000000000002,Disney Jane|VanGorder Jake|Calcagni Tifin|Benson Holly,"NA|NA",35,8.2,8.2,8.2,6.8,6.8,6.8,1.4,4.225,Tow,0.5,4,NA,NA,NA,NA,0,0,0.37254901960784315,0.11764705882352941,0,0,0,0.09803921568627451,0,0,0,0,0.0392156862745098,0,0,0,0,0,0,0,0,0,0,0.37254901960784315,0,0,0
MDIBL-habs_Anchorage_Alpha_22A_2004-09-24T15:45:00UTC,Anchorage_Alpha_22A_2004-09-24T15:45:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-24T15:45:00Z,2004-09-24T12:02:00Z,2004-09-24T05:44:00Z,15,12,Partly Cloudy,0.254,NA,3.5,Ripple,Low,In,1.524,VanGorder Jake|Disney Jane|Benson Holly,"NA|NA",35,8.5,9.2,8.85,7.2,7,7.1,1.75,4.27,Tow,0.5,3.5,NA,NA,NA,NA,0,0,0.3055555555555556,0.3333333333333333,0.027777777777777776,0,0,0.027777777777777776,0,0,0.05555555555555555,0,0.027777777777777776,0,0,0.027777777777777776,0,0,0,0,0,0,0,0.19444444444444445,0,0,0
MDIBL-habs_Anchorage_Alpha_22A_2004-09-27T15:30:00UTC,Anchorage_Alpha_22A_2004-09-27T15:30:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-27T15:30:00Z,2004-09-27T08:20:00Z,2004-09-27T14:31:00Z,15,12,Clear,0,NA,3.5,Ripple,Low,Out,2.4384,Disney Jane|Calcagni Tifin|Baron Alex|VanGorder Jake|Benson Holly,"NA|Sulfur smell.",35,9.1,8.4,8.75,6.7,6.9,6.8,1.95,3.15,Tow,0.5,2,NA,NA,NA,NA,0,0,0.15,0.2,0,0.05,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.35,0,0,0
MDIBL-habs_Anchorage_Alpha_22A_2004-09-30T17:15:00UTC,Anchorage_Alpha_22A_2004-09-30T17:15:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-30T17:15:00Z,2004-09-30T10:33:00Z,2004-09-30T16:41:00Z,20,12,Partly Cloudy,0,NA,1.3,Ripple,None,NA,2.1336,Disney Jane|Calcagni Tifin|Benson Holly|VanGorder Jake,"NA|NA",35,8.4,7.5,7.95,5.9,6.15,6.025,1.925,5.72,Tow,0.5,5,NA,NA,NA,NA,0.03333333333333333,0,0.3333333333333333,0.13333333333333333,0.06666666666666667,0,0.03333333333333333,0.13333333333333333,0,0.03333333333333333,0.06666666666666667,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0.1,0,0,0
MDIBL-habs_Anchorage_Alpha_22A_2004-10-06T15:55:00UTC,Anchorage_Alpha_22A_2004-10-06T15:55:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-10-06T15:55:00Z,2004-10-06T15:09:00Z,2004-10-06T21:08:00Z,10,11,Partly Cloudy,0,NA,12,Waves,Low,In,0.6096,Disney Jane|VanGorder Jake|Benson Holly|Calcagni Tifin,"NA|Rotting algae smells",35,8.8,8.8,8.8,6.6,7,6.8,2,4.005,Tow,0.5,4,NA,NA,NA,NA,0,0,0.42592592592592593,0.2222222222222222,0,0,0.018518518518518517,0.018518518518518517,0,0.037037037037037035,0.018518518518518517,0,0.018518518518518517,0,0.05555555555555555,0,0,0.05555555555555555,0,0,0,0,0,0.07407407407407407,0,0.05555555555555555,0
MDIBL-habs_Anchorage_Alpha_22A_2004-10-10T16:13:00UTC,Anchorage_Alpha_22A_2004-10-10T16:13:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-10-10T16:13:00Z,2004-10-10T06:35:00Z,2004-10-11T00:59:00Z,NA,NA,Overcast,0,NA,6,Waves,Medium,Out,3.6576000000000004,Disney Jane|VanGorder Jake|Tyler|Benson Holly,"NA|NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,Tow,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDIBL-habs_Anchorage_Alpha_22A_2004-10-10T17:00:00UTC,Anchorage_Alpha_22A_2004-10-10T17:00:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-10-10T17:00:00Z,2004-10-10T06:35:00Z,2004-10-11T00:59:00Z,16,11.5,Overcast,0,NA,6,Ripple,Medium,Out,3.6576000000000004,VanGorder Jake|Disney Jane|Tyler|Benson Holly,"NA|NA",35,8.8,9.2,9,6.6,7,6.8,2.2,4.8,Tow,0.5,4.8,NA,NA,NA,NA,0.058823529411764705,0,0.29411764705882354,0.058823529411764705,0.058823529411764705,0,0.058823529411764705,0.058823529411764705,0,0.11764705882352941,0.11764705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0.11764705882352941,0,0.058823529411764705,0
MDIBL-habs_Anchorage_Alpha_22A_2004-10-10T17:30:00UTC,Anchorage_Alpha_22A_2004-10-10T17:30:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-10-10T17:30:00Z,2004-10-10T06:35:00Z,2004-10-11T00:59:00Z,18,NA,Overcast,0,NA,1,Ripple,Medium,Out,3.6576000000000004,VanGorder Jake|Disney Jane|Tyler|Benson Holly,"NA|Bubbles",35,9.2,9.3,9.25,7.4,7.4,7.4,1.85,NA,Tow,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDIBL-habs_Anchorage_Bravo_22B_2004-10-15T15:54:00UTC,Anchorage_Bravo_22B_2004-10-15T15:54:00UTC,Anchorage_Bravo_22B,EPSG:4326 WGS84,44.40379014,-68.20522976,US,350,2004-10-15T15:54:00Z,2004-10-15T10:21:00Z,2004-10-15T16:01:00Z,13.5,10,Overcast,4.064,NA,6.5,Waves,Medium,In,2.1336,Disney Jane|VanGorder Jake|Benson Holly,"NA|NA",35,8.4,8,8.2,8.2,8.2,8.2,0,6.33,Tow,0.5,6.33,NA,NA,NA,NA,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDIBL-habs_Anchorage_Alpha_22A_2004-10-16T15:50:00UTC,Anchorage_Alpha_22A_2004-10-16T15:50:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-10-16T15:50:00Z,2004-10-16T08:00:00Z,2004-10-16T14:11:00Z,13,9.5,Overcast,0,NA,14,Waves,Low,Out,2.7432000000000003,Calcagni Tifin|VanGorder Jake|Benson Holly,"NA|NA",35,7,6.8,6.9,7,6.8,6.9,0.4,4.875,Tow,0.5,5,NA,NA,NA,NA,0,0,0.10526315789473684,0,0.15789473684210525,0.02631578947368421,0.15789473684210525,0.05263157894736842,0.07894736842105263,0,0,0,0.02631578947368421,0,0.02631578947368421,0,0.15789473684210525,0,0,0,0,0,0,0.07894736842105263,0,0.13157894736842105,0
MDIBL-habs_Anchorage_Bravo_22B_2004-10-18T17:45:00UTC,Anchorage_Bravo_22B_2004-10-18T17:45:00UTC,Anchorage_Bravo_22B,EPSG:4326 WGS84,44.40379014,-68.20522976,US,350,2004-10-18T17:45:00Z,2004-10-18T12:51:00Z,2004-10-18T18:21:00Z,11,10.5,Partly Cloudy,7.112,NA,14,Waves,Medium,In,1.8288000000000002,Disney Jane|VanGorder Jake|Benson Holly,"NA|NA",35,7.5,7.9,7.7,6.8,7.2,7,0.7,4.975,Tow,0.5,5.25,NA,NA,NA,NA,0,0,0.25,0,0.1388888888888889,0,0.16666666666666666,0.1111111111111111,0,0,0.05555555555555555,0,0,0,0.027777777777777776,0,0.027777777777777776,0.027777777777777776,0,0,0,0,0,0.16666666666666666,0,0.027777777777777776,0
MDIBL-habs_SWH_Beals_21A_2004-10-19T18:10:00UTC,SWH_Beals_21A_2004-10-19T18:10:00UTC,SWH_Beals_21A,EPSG:4326 WGS84,44.2749688,-68.31374237,US,10,2004-10-19T18:10:00Z,2004-10-19T12:38:00Z,2004-10-19T07:19:00Z,14,12,Partly Cloudy,0,NA,2.5,Calm,None,In,1.524,Burnes Bonnie,"NA|NA",35,9,9.2,9.1,NA,NA,NA,NA,4.5,Tow,0.5,4,NA,NA,NA,NA,0,0,0,0,0,0,0.5833333333333334,0,0.08333333333333333,0.041666666666666664,0,0,0,0,0,0.041666666666666664,0,0,0,0,0,0,0,0.20833333333333334,0,0.041666666666666664,0
MDIBL-habs_Anchorage_Alpha_22A_2004-11-04T16:45:00UTC,Anchorage_Alpha_22A_2004-11-04T16:45:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-11-04T16:45:00Z,2004-11-04T14:28:00Z,2004-11-04T20:36:00Z,8.3,8,Clear,14.224,NA,9,Ripple,Low,In,0.9144000000000001,Disney Jane|Calcagni Tifin|VanGorder Jake|Benson Holly,"NA|NA",35,7.7,9,8.35,4.5,7,6.75,1.6,5.14,Tow,0.5,5,NA,NA,NA,NA,0,0,0.056074766355140186,0.009345794392523364,0.12149532710280374,0,0.102803738317757,0.037383177570093455,0.04672897196261682,0,0.1308411214953271,0,0,0,0.028037383177570093,0,0,0,0,0,0,0,0,0.38317757009345793,0,0.07476635514018691,0.009345794392523364
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-11-18T14:30:00UTC,Bar_Harbor_Town_Pier_22D_2004-11-18T14:30:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-11-18T14:30:00Z,2004-11-18T14:00:00Z,2004-11-18T20:30:00Z,6,6,Overcast,0,NA,0.4,Calm,None,NA,NA,not_recorded,"NA|Disk hit bottom",36,10,10,10,NA,NA,NA,NA,2.78,Tow,0.5,2,NA,NA,NA,NA,0,0,0.36666666666666664,0,0.03333333333333333,0,0.1,0,0,0,0,0,0,0,0.13333333333333333,0,0,0,0,0,0,0,0,0.36666666666666664,0,0,0
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-12-16T14:45:00UTC,Bar_Harbor_Town_Pier_22D_2004-12-16T14:45:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-12-16T14:45:00Z,2004-12-17T04:59:59Z,2004-12-17T04:59:59Z,-3,3,Clear,0,NA,1.3,Ripple,None,NA,NA,not_recorded,"NA|Transparency note: disk hit bottom. D.O. note: Air bubble in one of the D.O. bottle.",37,9,9.2,9.1,6.8,7,6.9,2,3,Tow,0.5,2.5,NA,NA,NA,NA,0,0,0.058823529411764705,0,0.11764705882352941,0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0.47058823529411764,0,0,0.11764705882352941
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-01-03T16:40:00UTC,Bar_Harbor_Town_Pier_22D_2005-01-03T16:40:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2005-01-03T16:40:00Z,2005-01-03T14:00:00Z,2005-01-04T04:59:59Z,5,3,Overcast,28.701999999999995,NA,4.5,Ripple,Low,In,1.6764000000000001,not_recorded,"NA|Do more than 5 min. tow next time.",NA,NA,NA,10,NA,NA,NA,NA,4.5,Tow,0.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
