id,eventID,site,locationID,geodeticDatum,decimalLatitude,decimalLongitude,countryCode,coordinateUncertaintyInMeters,eventDate,date_emailed_to_DMR,BOD_date,air_temp,water_temp,weather,rainfall_mm,wind_direction,wind_speed_knots,water_surface,water_current,tide_stage,tide_height,monitor_names,eventRemarks,salinity_ppt,DO1_ppm,DO2_ppm,DOavg_ppm,DO1_day5_ppm,DO2_day5_ppm,DO2_day5_avg,bod,transparency_depth_mean,sampling_method,minimumDepthInMeters,maximumDepthInMeters,Alexandrium,Ceratium,Chaetoceros_spp,Chaetoceros_socialis,Coscinodiscus,Dictyocha,Ditylum,Dinophysis_spp,Eucampia,Gonyaulax,Guinardia,Gymnodinium,Gyrosigma,Licmophora,Leptocylindrus,Melosira,Navicula,Nitzschia,Phaeocystis,Pleurosigma,Prorocentrum_spp,Prorocentrum_lima,Protoperidinium,Pseudo_nitzschia_small,Pseudo_nitzschia_large,Pseudo_nitzchia_spp,Rhizosolenia,Thalassionema,Thalassiosira,Other_phytoplankton,total_phytoplankton,too_numerous_to_count_grid_num
MDIBL-habs_22A_2004-09-10T17:15:00UTC,22A_2004-09-10T17:15:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-10T17:15:00UTC,2004-09-10,2004-09-15T04:00:00Z,17,11,Overcast,29.717999999999996,NA,12,Ripple,Medium,Out,0.3048,Van Gorder J|Tifin|Disney J,"NA|NA",34,7.8,7.4,7.6,6.5,6.4,6.45,1.46,6.5,Tow,0.5,35,1,0,0,8,1,0,1,7,0,3,21,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,7,0,1,2,60,NA
MDIBL-habs_22A_2004-09-12T19:45:00UTC,22A_2004-09-12T19:45:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-12T19:45:00UTC,2004-09-12,2004-09-17T04:00:00Z,19,12,Clear,0,NA,4,Ripple,Low,Out,3.81,Disney J|Mary,"NA|NA",35,7.2,8,7.6,6.5,6.4,6.45,1.15,4.5,Tow,0.5,4,0,0,6,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,41,NA
MDIBL-habs_22A_2004-09-14T15:50:00UTC,22A_2004-09-14T15:50:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-14T15:50:00UTC,2004-09-14,2004-09-19T04:00:00Z,13,13,Clear,0,NA,10,Ripple,NA,Out,2.4384,Tifin|Benson H|Tyler,"NA|NA",35,8,8.1,8.05,7.7,7.1,7.4,0.65,5.6,Tow,0.5,5,0,0,13,12,0,0,0,0,0,0,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,2,0,52,NA
MDIBL-habs_22A_2004-09-15T15:25:00UTC,22A_2004-09-15T15:25:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-15T15:25:00UTC,2004-09-15,2004-09-20T04:00:00Z,17,11,Clear,0,NA,5,Ripple,None,Out,2.1336,Benson H|Tifin|Tyler,"NA|NA",35,8.2,7.65,7.92,7,7.1,7.05,0.65,5.95,Tow,0.5,5.5,0,0,11,4,0,0,0,5,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,49,NA
MDIBL-habs_22A_2004-09-16T16:00:00UTC,22A_2004-09-16T16:00:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-16T16:00:00UTC,2004-09-16,2004-09-21T04:00:00Z,15,11,Partly Cloudy,0,NA,1.5,Ripple,Medium,In,1.9812,Benson H|Disney J|Howdy,"NA|NA",35,8.4,7.8,8.1,5.9,6.2,6.05,2.05,5.1,Tow,0.5,5,0,0,5,9,0,0,0,12,0,1,6,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,71,NA
MDIBL-habs_22D_2004-09-17T13:25:00UTC,22D_2004-09-17T13:25:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-09-17T13:25:00UTC,2004-09-17,NA,21,13,NA,NA,NA,1,NA,Low,NA,NA,not_recorded,"NA|NA",34,6.8,7.2,7,NA,NA,NA,NA,3.4,Tow,0.5,3.4,0,0,16,8,0,0,0,3,0,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,72,NA
MDIBL-habs_22D_2004-09-21T15:25:00UTC,22D_2004-09-21T15:25:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-09-21T15:25:00UTC,2004-09-21,2004-09-26T04:00:00Z,20,12,Partly Cloudy,0,NA,1.33,Calm,Low,In,0.6096,Tifin|Van Gorder J|Benson H|Disney J|Baron A,"NA|Transparency note: Disk hit bottom",35,6.7,7.1,6.5,6.6,6.6,6.6,0.3,3.01,Tow,0.5,2.5,0,0,4,3,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,25,NA
MDIBL-habs_22A_2004-09-23T15:36:00UTC,22A_2004-09-23T15:36:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-23T15:36:00UTC,2004-09-23,2004-09-28T04:00:00Z,19,11,Clear,0.254,NA,14.7,Whitecaps,High,In,1.8288000000000002,Disney J|Van Gorder J|Tifin|Benson H,"NA|NA",35,8.2,8.2,8.2,6.8,6.8,6.8,1.4,4.225,Tow,0.5,4,0,0,19,6,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,51,NA
MDIBL-habs_22A_2004-09-24T15:45:00UTC,22A_2004-09-24T15:45:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-24T15:45:00UTC,2004-09-24,2004-09-29T04:00:00Z,15,12,Partly Cloudy,0.254,NA,3.5,Ripple,Low,In,1.524,Van Gorder J|Disney J|Benson H,"NA|NA",35,8.5,9.2,8.85,7.2,7,7.1,1.75,4.27,Tow,0.5,3.5,0,0,11,12,1,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,36,NA
MDIBL-habs_22A_2004-09-27T15:30:00UTC,22A_2004-09-27T15:30:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-27T15:30:00UTC,2004-09-27,2004-10-02T04:00:00Z,15,12,Clear,0,NA,3.5,Ripple,Low,Out,2.4384,Disney J|Tifin|Baron A|Van Gorder J|Benson H,"NA|Sulfur smell.",35,9.1,8.4,8.75,6.7,6.9,6.8,1.95,3.15,Tow,0.5,2,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20,NA
MDIBL-habs_22A_2004-09-30T17:15:00UTC,22A_2004-09-30T17:15:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-09-30T17:15:00UTC,2004-09-30,2004-10-05T04:00:00Z,20,12,Partly Cloudy,0,NA,1.3,Ripple,None,NA,2.1336,Disney J|Tifin|Benson H|Van Gorder J,"NA|NA",35,8.4,7.5,7.95,5.9,6.15,6.025,1.925,5.72,Tow,0.5,5,1,0,10,4,2,0,1,4,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,31,NA
MDIBL-habs_22A_2004-10-06T15:55:00UTC,22A_2004-10-06T15:55:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-10-06T15:55:00UTC,2004-10-06,2004-10-11T04:00:00Z,10,11,Partly Cloudy,0,NA,12,Waves,Low,In,0.6096,Disney J|Van Gorder J|Benson H|Tifin,"NA|Rotting algae smells",35,8.8,8.8,8.8,6.6,7,6.8,2,4.005,Tow,0.5,4,0,0,23,12,0,0,1,1,0,2,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,3,0,56,NA
MDIBL-habs_22A_2004-10-10T16:13:00UTC,22A_2004-10-10T16:13:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-10-10T16:13:00UTC,2004-10-10,NA,NA,NA,Overcast,0,NA,6,Waves,Medium,Out,3.6576000000000004,Disney J|Van Gorder J|Tyler|Benson H,"NA|NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,Tow,0.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
MDIBL-habs_22A_2004-10-10T17:00:00UTC,22A_2004-10-10T17:00:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-10-10T17:00:00UTC,2004-10-10,2004-10-15T04:00:00Z,16,11.5,Overcast,0,NA,6,Ripple,Medium,Out,3.6576000000000004,Van Gorder J|Disney J|Tyler|Benson H,"NA|NA",35,8.8,9.2,9,6.6,7,6.8,2.2,4.8,Tow,0.5,4.8,1,0,5,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,18,NA
MDIBL-habs_22A_2004-10-10T17:30:00UTC,22A_2004-10-10T17:30:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-10-10T17:30:00UTC,2004-10-10,2004-10-15T04:00:00Z,18,NA,Overcast,0,NA,1,Ripple,Medium,Out,3.6576000000000004,Van Gorder J|Disney J|Tyler|Benson H,"NA|Bubbles",35,9.2,9.3,9.25,7.4,7.4,7.4,1.85,NA,Tow,0.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
MDIBL-habs_22B_2004-10-15T15:54:00UTC,22B_2004-10-15T15:54:00UTC,Anchorage Bravo,22B,EPSG:4326 WGS84,44.40379014,-68.20522976,US,350,2004-10-15T15:54:00UTC,2004-10-15,2004-10-20T04:00:00Z,13.5,10,Overcast,4.064,NA,6.5,Waves,Medium,In,2.1336,Disney J|Van Gorder J|Benson H,"NA|NA",35,8.4,8,8.2,8.2,8.2,8.2,0,6.33,Tow,0.5,6.33,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA
MDIBL-habs_22A_2004-10-16T15:50:00UTC,22A_2004-10-16T15:50:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-10-16T15:50:00UTC,2004-10-26,2004-10-31T04:00:00Z,13,9.5,Overcast,0,NA,14,Waves,Low,Out,2.7432000000000003,Tifin|Van Gorder J|Benson H,"NA|NA",35,7,6.8,6.9,7,6.8,6.9,0.4,4.875,Tow,0.5,5,0,0,4,0,6,1,6,2,3,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,1,3,0,5,0,39,NA
MDIBL-habs_22B_2004-10-18T17:45:00UTC,22B_2004-10-18T17:45:00UTC,Anchorage Bravo,22B,EPSG:4326 WGS84,44.40379014,-68.20522976,US,350,2004-10-18T17:45:00UTC,2004-10-18,2004-10-23T04:00:00Z,11,10.5,Partly Cloudy,7.112,NA,14,Waves,Medium,In,1.8288000000000002,Disney J|Van Gorder J|Benson H,"NA|NA",35,7.5,7.9,7.7,6.8,7.2,7,0.7,4.975,Tow,0.5,5.25,0,0,9,0,5,0,6,4,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,6,0,1,0,37,NA
MDIBL-habs_21A_2004-10-19T18:10:00UTC,21A_2004-10-19T18:10:00UTC,SWH Beals,21A,EPSG:4326 WGS84,44.2749688,-68.31374237,US,10,2004-10-19T18:10:00UTC,2004-10-19,NA,14,12,Partly Cloudy,0,NA,2.5,Calm,None,In,1.524,Burnes,"NA|NA",35,9,9.2,9.1,NA,NA,NA,NA,4.5,Tow,0.5,4,0,0,0,0,0,0,14,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,0,1,0,30,NA
MDIBL-habs_22A_2004-11-04T16:45:00UTC,22A_2004-11-04T16:45:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-11-04T16:45:00UTC,2004-11-04,2004-11-09T05:00:00Z,8.3,8,Clear,14.224,NA,9,Ripple,Low,In,0.9144000000000001,Disney J|Tifin|Van Gorder J|Benson H,"NA|NA",35,7.7,9,8.35,4.5,7,6.75,1.6,5.14,Tow,0.5,5,0,0,6,1,13,0,11,4,5,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,41,0,8,1,110,NA
MDIBL-habs_22D_2004-11-18T14:30:00UTC,22D_2004-11-18T14:30:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-11-18T14:30:00UTC,2004-11-18,NA,6,6,Overcast,0,NA,0.4,Calm,None,NA,NA,not_recorded,"NA|Disk hit bottom",36,10,10,10,NA,NA,NA,NA,2.78,Tow,0.5,2,0,0,11,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,21,NA
MDIBL-habs_22D_2004-12-16T14:45:00UTC,22D_2004-12-16T14:45:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-12-16T14:45:00UTC,2004-12-16,2004-12-21T05:00:00Z,-3,3,Clear,0,NA,1.3,Ripple,None,NA,NA,not_recorded,"NA|Transparency note: disk hit bottom. D.O. note: Air bubble in one of the D.O. bottle.",37,9,9.2,9.1,6.8,7,6.9,2,3,Tow,0.5,2.5,0,0,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,17,NA
MDIBL-habs_22D_2005-01-03T16:40:00UTC,22D_2005-01-03T16:40:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2005-01-03T16:40:00UTC,2005-01-03,NA,5,3,Overcast,28.701999999999995,NA,4.5,Ripple,Low,In,1.6764000000000001,not_recorded,"NA|Do more than 5 min. tow next time.",NA,NA,NA,10,NA,NA,NA,NA,4.5,Tow,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
MDIBL-habs_21C_2005-01-11T14:10:00UTC,21C_2005-01-11T14:10:00UTC,Northeast Harbor,21C,EPSG:4326 WGS84,44.29663082,-68.28161929,US,200,2005-01-11T14:10:00UTC,2006-01-12,NA,6,3,Overcast,0.508,NA,19,Ripple,Low,Out,2.4384,not_recorded,"DO kept being more than .4 difference so students completed many trials to get the average|ferry boat at ramp, kelp under dock, students with tow net misunderstood directions and towed 15 up and down cycles-could account for low numbers of phytoplankton",35,7.6,7.8,7.7,NA,NA,NA,NA,7,Tow,0.5,6.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,NA
MDIBL-habs_22D_2005-01-26T14:15:00UTC,22D_2005-01-26T14:15:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2005-01-26T14:15:00UTC,2005-01-26,2005-01-31T05:00:00Z,-9,-3,Overcast,0.508,NA,8.5,Waves,Medium,In,2.4384,not_recorded,"NA|Deathly cold",35,10.2,10.5,10.35,8.7,8.4,8.55,2,1.09,Tow,0.5,1.09,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9,NA
MDIBL-habs_22D_2005-02-17T14:20:00UTC,22D_2005-02-17T14:20:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2005-02-17T14:20:00UTC,2005-02-17,2005-02-22T05:00:00Z,-2,0.5,Partly Cloudy,24.13,NA,8.5,Waves,NA,NA,NA,not_recorded,"NA|Secchi disk hit bottom",35,10,10,10,8.7,8.2,8.45,1.55,3.44,Tow,0.5,2.5,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,NA
MDIBL-habs_22D_2005-03-11T17:45:00UTC,22D_2005-03-11T17:45:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2005-03-11T17:45:00UTC,NA,2005-03-16T05:00:00Z,-1,0,Partly Cloudy,0.508,NA,3.5,Waves,Low,Out,NA,Van Gorder J|Howdy,"NA|Ice on the dock",35,12,19,15.5,9.5,9.2,9.35,6.15,3.895,Tow,0.5,3.5,0,0,14,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,NA
MDIBL-habs_22D_2005-03-16T17:45:00UTC,22D_2005-03-16T17:45:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2005-03-16T17:45:00UTC,2005-03-16,2005-03-21T05:00:00Z,16.5,1,Partly Cloudy,0.508,NA,4.5,Ripple,None,In,1.0668,MDIWQC,"NA|trucks dumping snow. Birds being fed, lots of gulls and pigeons",34,10.6,11.4,11,NA,NA,NA,2.9,4.4,Tow,0.5,4,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,8,0,19,NA
MDIBL-habs_21A_2005-03-17T13:00:00UTC,21A_2005-03-17T13:00:00UTC,SWH Beals,21A,EPSG:4326 WGS84,44.2749688,-68.31374237,US,10,2005-03-17T13:00:00UTC,NA,NA,2,1,Overcast,0.508,NA,1.5,Ripple,Low,In,1.8288000000000002,Tifin|Van Gorder J|Gwenn,"We saw a mystery species that was not in any FOV recorded, and it was determined to be Fragilaria.|Cold water, Calm day",35,10.25,9,9.63,NA,NA,NA,NA,3.9,Tow,0.5,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,NA
MDIBL-habs_22D_2005-03-23T17:45:00UTC,22D_2005-03-23T17:45:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2005-03-23T17:45:00UTC,2005-03-23,NA,6,2,Partly Cloudy,0,NA,4,Waves,Low,Out,2.8956,Van Gorder J|Durrant A,"NA|the disk hit the bottom",35,10.8,10.6,10.7,NA,NA,NA,NA,3.36,Tow,0.5,3,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,18,NA
MDIBL-habs_22D_2005-03-25T18:45:00UTC,22D_2005-03-25T18:45:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2005-03-25T18:45:00UTC,2005-03-25,2005-03-30T05:00:00Z,1,3,Partly Cloudy,0,NA,10,Waves,Medium,In,1.0668,Durrant A|Van Gorder J,"NA|pier moved a lot, unsteady, we lost sight of the net",34,12.2,11,11.6,NA,NA,NA,NA,2.79,Tow,0.5,2.8,0,0,11,2,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,22,NA
MDIBL-habs_22D_2005-03-30T17:55:00UTC,22D_2005-03-30T17:55:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2005-03-30T17:55:00UTC,2005-03-30,2005-04-04T04:00:00Z,8.5,4,Clear,0,NA,17,Waves,Medium,In,2.1336,Matt|Durrant A,"NA|3.75 inches of rain previous day, barge was scraping rusty deck into harbor… iron… bird droppings, net was dragged under the pier.",30,NA,NA,9.7,NA,NA,NA,2.05,1.22,Tow,0.5,3,0,0,6,2,13,0,0,1,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,30,NA
MDIBL-habs_22D_2005-03-31T14:15:00UTC,22D_2005-03-31T14:15:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2005-03-31T14:15:00UTC,NA,NA,5.5,2.5,Partly Cloudy,0,NA,4,Ripple,Low,In,0.6096,Krieg M,"3 DO tests ran, two from the same bottle: the second from one bottle was 11|Low tide, secchi disk hit the bottom, the water was cloudy",31,8.8,10,9.9,9.2,9.6,9.4,0.5,2.13,Tow,0.5,2,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,4,16,NA
